route_id,folder_name,route_name,color_name,color_hex,color_letter,transport_type,length_km,coord_count,placemark_name,kml_path,category
10,10_CAFE_1,Café 1,Cafe,#8B4513,C,Combi,17.4513,804,Combi,rutastransporte\01_RUTAS_DE_COMBI\10_CAFE_1\KML\Café_1.kml,01_RUTAS_DE_COMBI
11,11_CAFE_1A,Café 1A,Cafe,#8B4513,C,Combi,9.6713,1054,Combi,rutastransporte\01_RUTAS_DE_COMBI\11_CAFE_1A\KML\Café 1A.kml,01_RUTAS_DE_COMBI
13,13_CAFE_ORO_2_LEANDRO_VALLE,Café - Oro 2 (Leandro Valle),Cafe,#8B4513,C,Combi,20.113,2004,Combi,rutastransporte\01_RUTAS_DE_COMBI\13_CAFE_ORO_2_LEANDRO_VALLE\KML\Café-Oro_2_Leandro_Valle.kml,01_RUTAS_DE_COMBI
14,14_CAFE_ORO_2_RAFAEL_CARRILLO,Café Oro 2 Rafael Carrillo,Cafe,#8B4513,C,Combi,20.2542,949,Combi,rutastransporte\01_RUTAS_DE_COMBI\14_CAFE_ORO_2_RAFAEL_CARRILLO\KML\Café_Oro_2_Rafael_Carrillo.kml,01_RUTAS_DE_COMBI
15,15_CAFE_ORO_2A,Café Oro 2A,Cafe,#8B4513,C,Combi,22.7243,1002,Combi,rutastransporte\01_RUTAS_DE_COMBI\15_CAFE_ORO_2A\KML\Café_Oro_2A.kml,01_RUTAS_DE_COMBI
16,16_CAFE_ORO_2B_MADERO,Café Oro 2B Madero,Cafe,#8B4513,C,Combi,10.8537,669,Combi,rutastransporte\01_RUTAS_DE_COMBI\16_CAFE_ORO_2B_MADERO\KML\Café_Oro_2B_Madero.kml,01_RUTAS_DE_COMBI
17,17_CAFE_ORO_2B_MICHOACAN,Café Oro 2B Michoacán,Cafe,#8B4513,C,Combi,10.857,611,Combi,rutastransporte\01_RUTAS_DE_COMBI\17_CAFE_ORO_2B_MICHOACAN\KML\Café_Oro_2B_Michoacán.kml,01_RUTAS_DE_COMBI
18,18_CORAL_1,Coral 1,Coral,#FF6F61,C,Combi,11.8417,402,Combi,rutastransporte\01_RUTAS_DE_COMBI\18_CORAL_1\KML\Coral_1.kml,01_RUTAS_DE_COMBI
19,19_CORAL_2,Coral 2,Coral,#FF6F61,C,Combi,14.0773,515,Combi,rutastransporte\01_RUTAS_DE_COMBI\19_CORAL_2\KML\Coral_2.kml,01_RUTAS_DE_COMBI
1,1_COBERTURA_DEL_TRANSPORTE,Ruta 1 Pedregal,#76B91E,#76B91E,?,Autobús,36.5987,313135,Combi,rutastransporte\01_RUTAS_DE_COMBI\1_COBERTURA_DEL_TRANSPORTE\KML\Coberturas del transporte.kml,01_RUTAS_DE_COMBI
20,20_CORAL_2A,Coral 2 A,Coral,#FF6F61,C,Combi,18.8905,674,Combi,rutastransporte\01_RUTAS_DE_COMBI\20_CORAL_2A\KML\Coral_2A.kml,01_RUTAS_DE_COMBI
21,21_CREMA_1,Crema 1,Crema,#F9DCC4,C,Combi,12.4421,483,Combi,rutastransporte\01_RUTAS_DE_COMBI\21_CREMA_1\KML\Crema_1.kml,01_RUTAS_DE_COMBI
22,22_CREMA_2,Crema 2,Crema,#F9DCC4,C,Combi,18.3801,737,Combi,rutastransporte\01_RUTAS_DE_COMBI\22_CREMA_2\KML\Crema_2.kml,01_RUTAS_DE_COMBI
23,23_CREMA_2A,Crema 2A,Crema,#F9DCC4,C,Combi,7.8442,374,Combi,rutastransporte\01_RUTAS_DE_COMBI\23_CREMA_2A\KML\Crema_2A.kml,01_RUTAS_DE_COMBI
24,24_GRIS_1_CIRCUITO,Gris 1 Circuito,Gris,#808080,G,Combi,26.666,1424,Combi,rutastransporte\01_RUTAS_DE_COMBI\24_GRIS_1_CIRCUITO\KML\Gris_1_Circuito.kml,01_RUTAS_DE_COMBI
26,26_GRIS_3_FURAMO,Gris 3 Furamo,Gris,#808080,G,Combi,26.6941,1409,Combi,rutastransporte\01_RUTAS_DE_COMBI\26_GRIS_3_FURAMO\KML\Gris_3_Furamo.kml,01_RUTAS_DE_COMBI
27,27_GRIS_3_OXXO,Gris 3 Oxxo,Gris,#808080,G,Combi,24.9363,1394,Combi,rutastransporte\01_RUTAS_DE_COMBI\27_GRIS_3_OXXO\KML\Gris_3_Oxxo.kml,01_RUTAS_DE_COMBI
28,28_GRIS_4,Gris 4,Gris,#808080,G,Combi,23.5362,1640,Combi,rutastransporte\01_RUTAS_DE_COMBI\28_GRIS_4\KML\Gris_4.kml,01_RUTAS_DE_COMBI
29,29_GUINDA_1_MORA,Guinda 1 Mora,Guinda,#611240,G,Combi,15.719,955,Combi,rutastransporte\01_RUTAS_DE_COMBI\29_GUINDA_1_MORA\KML\Guinda_1_Mora.kml,01_RUTAS_DE_COMBI
2,2_COMBI_AMARILLA_TENENCIA_MORELOS,Amarilla Tenencia Morelos,Amarilla,#FFC800,A,Combi,9.1915,1538,Combi,rutastransporte\01_RUTAS_DE_COMBI\2_COMBI_AMARILLA_TENENCIA_MORELOS\KML\Amarilla Tenencia Morelos.kml,01_RUTAS_DE_COMBI
30,30_GUINDA_1_PRADERAS,Guinda 1 Praderas,Guinda,#611240,G,Combi,13.786,909,Combi,rutastransporte\01_RUTAS_DE_COMBI\30_GUINDA_1_PRADERAS\KML\Guinda_1_Praderas.kml,01_RUTAS_DE_COMBI
31,31_GUINDA_2,Guinda 2,Guinda,#611240,G,Combi,10.1713,702,Combi,rutastransporte\01_RUTAS_DE_COMBI\31_GUINDA_2\KML\Guinda_2.kml,01_RUTAS_DE_COMBI
32,32_MORADA_1_ALDEA,Morada 1 Aldea,Morada,#8238EA,M,Combi,21.4938,1072,Combi,rutastransporte\01_RUTAS_DE_COMBI\32_MORADA_1_ALDEA\KML\Morada_1_Aldea.kml,01_RUTAS_DE_COMBI
33,33_MORADA_1_BUENOS_AIRES,Morada 1 Buenos Aires,Morada,#8238EA,M,Combi,24.3885,1503,Combi,rutastransporte\01_RUTAS_DE_COMBI\33_MORADA_1_BUENOS_AIRES\KML\Morada_1_Buenos_Aires.kml,01_RUTAS_DE_COMBI
34,34_MORADA_1_MISION_DEL_VALLE,Morada 1 Misión del Valle,Morada,#8238EA,M,Combi,26.2153,1755,Combi,rutastransporte\01_RUTAS_DE_COMBI\34_MORADA_1_MISION_DEL_VALLE\KML\Morada_1_Misión_del_Valle.kml,01_RUTAS_DE_COMBI
35,35_MORADA_2_LOMAS_DE_MORELIA,Morada 2 Lomas de Morelia,Morada,#8238EA,M,Combi,11.3602,975,Combi,rutastransporte\01_RUTAS_DE_COMBI\35_MORADA_2_LOMAS_DE_MORELIA\KML\Morada_2_Lomas_de_Morelia.kml,01_RUTAS_DE_COMBI
36,36_MORADA_2_SATELITE,Morada 2 Satelite,Morada,#8238EA,M,Combi,17.4879,1147,Combi,rutastransporte\01_RUTAS_DE_COMBI\36_MORADA_2_SATELITE\KML\Morada_2_Satélite.kml,01_RUTAS_DE_COMBI
37,37_MORADA_ 2A,Morada 2A,Morada,#8238EA,M,Combi,12.7761,912,Combi,rutastransporte\01_RUTAS_DE_COMBI\37_MORADA_ 2A\KML\Morada_2A.kml,01_RUTAS_DE_COMBI
38,38_NARANJA_1_ISSSTE,Naranja 1 ISSTE,Naranja,#FF5500,N,Combi,11.2924,752,Combi,rutastransporte\01_RUTAS_DE_COMBI\38_NARANJA_1_ISSSTE\KML_naranja_issste\Naranja1_issste_kml.kml,01_RUTAS_DE_COMBI
39,39_NARANJA_1_LA_SOLEDAD,Naranja 1 La Soledad,Naranja,#FF5500,N,Combi,11.299,843,Combi,rutastransporte\01_RUTAS_DE_COMBI\39_NARANJA_1_LA_SOLEDAD\KML_naranja1_LaSoledad\Naranja_1_La_Soledad_kml.kml,01_RUTAS_DE_COMBI
3,3_COMBI_AMARILLA_1_CENTRO,Amarilla 1 Centro,Amarilla,#FFC800,A,Combi,9.3757,431,Combi,rutastransporte\01_RUTAS_DE_COMBI\3_COMBI_AMARILLA_1_CENTRO\KML\Amarilla_1_centro.kml,01_RUTAS_DE_COMBI
40,40_NARANJA_2-3_DE_AGOSTO,Naranja 2 - 3 de Agosto,Naranja,#FF5500,N,Combi,12.2529,747,Combi,rutastransporte\01_RUTAS_DE_COMBI\40_NARANJA_2-3_DE_AGOSTO\KML_naranja23a\Naranja2_3_de_Agosto_kml.kml,01_RUTAS_DE_COMBI
41,41_NARANJA_2_SANTA_FE,Naranja 2 Santa Fe,Naranja,#FF5500,N,Combi,17.5322,1041,Combi,rutastransporte\01_RUTAS_DE_COMBI\41_NARANJA_2_SANTA_FE\KML_naranja2_sf\Naranja2_SantaFe_kml.kml,01_RUTAS_DE_COMBI
42,42_NARANJA_3_CENTRO-PUERTA_DEL_SOL,Naranja 3 Centro - Puerta del Sol,Naranja,#FF5500,N,Combi,14.8313,979,Combi,rutastransporte\01_RUTAS_DE_COMBI\42_NARANJA_3_CENTRO-PUERTA_DEL_SOL\KML_naranja3_cps\Naranja_3_Centro_PuertaSol_kml.kml,01_RUTAS_DE_COMBI
43,43_NARANJA_3_CENTRO,Naranja 3 (Directo),Naranja,#FF5500,N,Autobús,13.1143,1583,Autobús,rutastransporte\01_RUTAS_DE_COMBI\43_NARANJA_3_CENTRO\KML_naranja3centro\Naranja3_centro_kml.kml,01_RUTAS_DE_COMBI
44,44_NARANJA_3_SANTA_MARIA-ERANDENI,Naranja 3 Santa Maria - Erandeni,Naranja,#FF5500,N,Combi,17.5691,1318,Combi,rutastransporte\01_RUTAS_DE_COMBI\44_NARANJA_3_SANTA_MARIA-ERANDENI\KML_naranja3_sme\Naranja3_SantaMaría_Erandeni_kml.kml,01_RUTAS_DE_COMBI
45,45_NARANJA_3_SANTA_MARIA-ITA,Naranja 3 Santa Maria - ITA,Naranja,#FF5500,N,Combi,15.5267,1343,Combi,rutastransporte\01_RUTAS_DE_COMBI\45_NARANJA_3_SANTA_MARIA-ITA\KML_naraja3_smita\Naranja_3_SantaMaría_ITA_kml.kml,01_RUTAS_DE_COMBI
46,46_NARANJA_3_TRICO-METROPOLIS,Naranja 3 Trico - Metropolis,Naranja,#FF5500,N,Combi,15.9546,1369,Combi,rutastransporte\01_RUTAS_DE_COMBI\46_NARANJA_3_TRICO-METROPOLIS\KML_naranja3_trico\Naranja_3_Trico_Metropolis_kml.kml,01_RUTAS_DE_COMBI
47,47_NEGRA_1,Negra 1,Negra,#000000,N,Combi,19.9279,848,Combi,rutastransporte\01_RUTAS_DE_COMBI\47_NEGRA_1\KML_negra1\Negra_1_kml.kml,01_RUTAS_DE_COMBI
48,48_NEGRA_2,Negra 2,Negra,#000000,N,Combi,11.8333,707,Combi,rutastransporte\01_RUTAS_DE_COMBI\48_NEGRA_2\KML_negra2\Negra 2_kml.kml,01_RUTAS_DE_COMBI
49,49_ORO_VERDE_ENCINOS,Oro Verde Encinos,Oro_verde,#A8A800,O,Combi,22.0164,1143,Combi,rutastransporte\01_RUTAS_DE_COMBI\49_ORO_VERDE_ENCINOS\KML_ove\Oro Verde Encinos.kml,01_RUTAS_DE_COMBI
4,4_COMBI_AMARILLA_2,Amarilla 2,Amarilla,#FFC800,A,Combi,22.4748,646,Combi,rutastransporte\01_RUTAS_DE_COMBI\4_COMBI_AMARILLA_2\KML\Amarilla_2.kml,01_RUTAS_DE_COMBI
50,50_ORO_VERDE_SOLEDAD,Oro Verde Soledad,Oro_verde,#A8A800,O,Combi,19.7125,1248,Combi,rutastransporte\01_RUTAS_DE_COMBI\50_ORO_VERDE_SOLEDAD\KML_ovs\Oro Verde Soledad_kml.kml,01_RUTAS_DE_COMBI
51,51_ORO_VERDE_TRINCHERAS,Oro Verde Trincheras,Oro_verde,#A8A800,O,Combi,19.5306,1482,Combi,rutastransporte\01_RUTAS_DE_COMBI\51_ORO_VERDE_TRINCHERAS\KML_ovt\Oro_Verde_Trincheras_kml.kml,01_RUTAS_DE_COMBI
52,52_PALOMA_AZUL_ARQUITO,Paloma Azul Arquito,Azul,#004E98,A,Combi,11.812,1294,Combi,rutastransporte\01_RUTAS_DE_COMBI\52_PALOMA_AZUL_ARQUITO\KML_paa\Paloma_Azul_Arquito_kml.kml,01_RUTAS_DE_COMBI
53,53_PALOMA_AZUL_CAMPIÑA,Paloma Azul Campina,Azul,#004E98,A,Combi,12.8505,1197,Combi,rutastransporte\01_RUTAS_DE_COMBI\53_PALOMA_AZUL_CAMPIÑA\KML_pac\Paloma_Azul_Campiña_kml.kml,01_RUTAS_DE_COMBI
54,54_PALOMA_AZUL_ZIMPANIO,Paloma Azul Zimpanio,Azul,#004E98,A,Combi,9.9205,952,Combi,rutastransporte\01_RUTAS_DE_COMBI\54_PALOMA_AZUL_ZIMPANIO\KML_paz\Paloma_Azul_Zimpanio_kml.kml,01_RUTAS_DE_COMBI
55,55_ROJA_1_COMERCIAL_MEXICANA,Roja 1 Comercial Mexicana,Roja,#A80000,R,Combi,13.066,916,Combi,rutastransporte\01_RUTAS_DE_COMBI\55_ROJA_1_COMERCIAL_MEXICANA\KML_rcm\Roja_1_Comercial_Mexicana_kml.kml,01_RUTAS_DE_COMBI
56,56_ROJA_1_PUNHUATO,Roja 1 Punhuato,Roja,#A80000,R,Combi,13.2136,850,Combi,rutastransporte\01_RUTAS_DE_COMBI\56_ROJA_1_PUNHUATO\KML_rp\Roja_1_Punhuato_kml.kml,01_RUTAS_DE_COMBI
57,57_ROJA_2_OKEN,Roja 2 Oken,Roja,#A80000,R,Combi,11.2471,655,Combi,rutastransporte\01_RUTAS_DE_COMBI\57_ROJA_2_OKEN\KML_oken\Roja_2_Oken_kml.kml,01_RUTAS_DE_COMBI
58,58_ROJA_2_VILLAS_DEL_SOL,Roja 2 Villas del Sol,Roja,#A80000,R,Combi,9.8148,722,Combi,rutastransporte\01_RUTAS_DE_COMBI\58_ROJA_2_VILLAS_DEL_SOL\KML_rvillas\Roja 2 Villas del Sol_kml.kml,01_RUTAS_DE_COMBI
59,59_ROJA_3,Roja 3,Roja,#A80000,R,Combi,14.4289,1341,Combi,rutastransporte\01_RUTAS_DE_COMBI\59_ROJA_3\KML_roja3\Roja_3_kml.kml,01_RUTAS_DE_COMBI
5,5_COMBI_AZUL_A_SORIANA-CBTA,Azul A Soriana-CBTA,Azul,#004E98,A,Combi,18.0027,607,Combi,rutastransporte\01_RUTAS_DE_COMBI\5_COMBI_AZUL_A_SORIANA-CBTA\KML\Azul_A_Soriana-CBTA.kml,01_RUTAS_DE_COMBI
60,60_ROJA_3A,Roja 3A,Roja,#A80000,R,Combi,17.3687,1522,Combi,rutastransporte\01_RUTAS_DE_COMBI\60_ROJA_3A\KML_roja3A\Roja_3A_kml.kml,01_RUTAS_DE_COMBI
